Wall time,Step,Value
1504024098.11388,18,0
1504024098.64698,24,0
1504024100.04641,40,0
1504024100.24635,42,0
1504024100.49609,45,0
1504024101.46223,56,0
1504024102.82833,71,0
1504024103.09466,74,0
1504024105.44354,94,0
1504024106.24305,102,0
1504024106.63543,106,-1
1504024108.49177,126,0
1504024111.19052,155,0
1504024111.47457,158,0
1504024112.32301,167,0
1504024113.85557,183,0
1504024114.05258,185,1
1504024118.2364,229,0
1504024118.73264,234,1
1504024120.10225,249,0
1504024120.65193,255,0
1504024121.10975,260,0
1504024121.71792,267,0
1504024122.29779,273,1
1504024123.96642,292,0
1504024125.44928,308,0
1504024125.63789,310,1
1504024126.34876,318,0
1504024128.39518,339,-1
1504024129.1809,347,0
1504024130.61357,363,0
1504024130.97999,367,0
1504024135.95753,421,-1
1504024136.04393,422,0
1504024137.62629,439,0
1504024137.93965,442,1
1504024138.19272,445,0
1504024139.61844,460,0
1504024139.90842,463,0
1504024140.0054,464,1
1504024140.95794,474,0
1504024142.87355,493,0
1504024144.78907,514,0
1504024146.37161,531,0
1504024146.83513,536,1
1504024149.35015,563,-1
1504024150.29965,573,-1
1504024150.86922,579,0
1504024151.53541,586,0
1504024151.61879,587,0
1504024154.67756,620,0
1504024154.85026,622,0
1504024156.01644,634,0
1504024156.69435,641,-1
1504024156.79577,642,-1
1504024156.9798,644,-1
1504024157.26263,647,-1
1504024157.46252,649,-1
1504024158.71492,661,0
1504024159.63107,671,0
1504024163.54558,714,0
1504024163.92861,718,0
1504024164.29517,722,0
1504024165.05602,730,0
1504024165.92439,739,1
1504024167.1436,752,0
1504024167.52675,756,0
1504024168.42626,765,0
1504024168.79272,769,0
1504024168.97598,771,0
1504024169.1725,773,1
1504024169.82166,780,0
1504024170.27523,785,0
1504024170.44183,787,0
1504024170.93835,792,1
1504024171.10813,794,0
1504024171.49129,798,0
1504024171.89108,802,0
1504024172.40746,808,0
1504024172.5216,809,-1
1504024174.68968,832,0
1504024175.03935,836,0
1504024178.07098,869,0
1504024178.704,876,0
1504024179.27031,882,0
1504024180.69836,896,-1
1504024181.08193,900,0
1504024181.73563,907,0
1504024181.90224,909,0
1504024182.63525,917,0
1504024183.91786,931,0
1504024184.0011,932,0
1504024184.91724,942,0
1504024185.18382,945,0
1504024185.98344,954,0
1504024186.33317,958,0
1504024186.71627,962,0
1504024187.54915,971,0
1504024187.64913,972,0
1504024188.23213,978,0
1504024188.31544,979,0
1504024188.82863,984,1
1504024190.64748,1002,0
1504024190.95939,1005,-1
1504024191.82692,1014,-1
1504024194.57874,1044,0
1504024195.74469,1057,0
1504024196.27777,1063,0
1504024196.54432,1066,0
1504024196.72752,1068,0
1504024197.09389,1072,0
1504024197.62696,1078,0
1504024198.06005,1083,0
1504024198.9429,1093,0
1504024199.44275,1099,0
1504024199.89245,1104,0
1504024200.79189,1114,0
1504024204.73975,1156,0
1504024205.10376,1160,0
1504024205.20331,1161,1
1504024205.30615,1162,0
1504024206.9992,1180,1
1504024208.25455,1193,0
1504024209.50388,1206,0
1504024212.0692,1232,0
1504024213.16859,1244,0
1504024214.20138,1255,0
1504024214.46782,1258,0
1504024214.75097,1261,0
1504024216.63331,1281,0
1504024217.18308,1287,0
1504024217.81601,1294,0
1504024218.39687,1300,0
1504024219.84827,1316,0
1504024220.13137,1319,0
1504024221.17939,1330,0
1504024221.4474,1333,0
1504024221.73056,1336,0
1504024221.81392,1337,0
1504024226.2948,1385,0
1504024226.56128,1388,0
1504024226.86113,1391,0
1504024226.96106,1392,0
1504024229.00996,1414,0
1504024230.19261,1426,0
1504024231.12546,1436,0
1504024231.49108,1440,0
1504024233.87401,1465,0
1504024233.98753,1466,-1
1504024235.02335,1477,0
1504024235.81972,1485,-1
1504024236.23599,1489,-1
1504024236.4525,1491,-1
1504024239.63265,1523,-1
1504024240.05083,1527,-1
1504024242.53585,1552,0
1504024244.11842,1568,0
1504024244.21498,1569,-1
1504024245.64751,1584,-1
1504024246.03074,1588,-1
1504024247.61642,1604,0
1504024247.69971,1605,0
1504024249.682,1627,0
1504024250.18168,1632,0
1504024250.63153,1637,0
1504024250.94771,1640,0
1504024251.41435,1645,0
1504024251.69758,1648,0
1504024252.81329,1660,0
1504024253.52992,1668,0
1504024254.19621,1675,0
1504024254.8292,1682,0
1504024255.69539,1691,0
1504024256.06189,1695,0
1504024256.26174,1697,0
1504024256.44497,1699,0
1504024256.72817,1702,0
1504024257.39443,1709,0
1504024258.31054,1718,0
1504024259.29019,1728,-1
1504024259.67341,1732,-1
1504024259.85978,1734,0
1504024260.15691,1737,-1
1504024260.67269,1742,-1
1504024260.94246,1745,0
1504024261.04246,1746,0
1504024263.04141,1766,0
1504024263.92426,1775,0
1504024264.45733,1781,0
1504024265.12358,1788,0
1504024265.20688,1789,0
1504024266.08973,1798,0
1504024266.73939,1805,0
1504024268.77159,1826,0
1504024269.13827,1830,0
1504024270.15038,1840,1
1504024270.48724,1844,0
1504024271.35363,1853,0
1504024272.58618,1866,0
1504024272.88278,1869,1
1504024273.49899,1875,1
1504024273.69902,1877,1
1504024276.96366,1911,1
1504024277.51364,1917,1
1504024279.11601,1934,0
1504024280.03205,1944,0
1504024280.31533,1947,0
1504024280.52895,1949,-1
1504024282.29751,1967,0
1504024283.71345,1981,0
1504024283.92661,1983,-1
1504024285.66241,2001,0
1504024286.01221,2005,0
1504024286.74511,2013,0
1504024288.29479,2030,0
1504024288.84385,2036,0
1504024291.15694,2060,-1
1504024292.42543,2073,0
1504024292.69181,2076,0
1504024292.77527,2077,0
1504024292.95495,2079,1
1504024293.17194,2081,1
1504024293.55508,2085,-1
1504024293.92454,2089,0
1504024294.62107,2096,-1
1504024296.07337,2111,0
1504024299.43832,2145,0
1504024299.80463,2149,0
1504024300.45434,2156,0
1504024301.2872,2165,0
1504024302.41992,2177,0
1504024303.35273,2187,0
1504024303.53594,2189,0
1504024303.73587,2191,0
1504024304.20237,2196,0
1504024304.46882,2199,0
1504024305.20175,2207,0
1504024305.58491,2211,0
