Wall time,Step,Value
1504281624.58121,18,-1
1504281626.51885,42,-1
1504281626.73584,45,-1
1504281627.53031,56,0
1504281628.53112,71,0
1504281628.73134,74,0
1504281630.0656,94,0
1504281634.20227,155,0
1504281634.40257,158,0
1504281635.00296,167,0
1504281639.20447,229,-1
1504281639.58783,234,-1
1504281641.08847,255,1
1504281641.46043,260,1
1504281641.97286,267,1
1504281642.39234,273,0
1504281644.76102,308,0
1504281644.89923,310,0
1504281645.4447,318,0
1504281647.52971,347,0
1504281649.02857,367,-1
1504281652.70058,421,0
1504281652.76749,422,0
1504281654.13555,442,0
1504281655.5111,460,0
1504281655.75098,463,-1
1504281655.82031,464,0
1504281656.5685,474,-1
1504281660.87436,536,0
1504281662.74252,563,0
1504281663.82674,579,0
1504281664.32716,586,0
1504281664.39387,587,0
1504281666.66997,620,0
1504281667.62981,634,0
1504281668.18022,642,0
1504281668.53057,647,0
1504281668.68074,649,0
1504281669.58137,661,0
1504281670.26525,671,0
1504281673.26775,714,0
1504281673.81815,722,0
1504281674.36022,730,0
1504281676.1867,756,0
1504281676.82059,765,0
1504281677.08704,769,0
1504281677.25184,771,-1
1504281678.28851,785,0
1504281678.42189,787,0
1504281678.90562,794,0
1504281679.45606,802,0
1504281679.85646,808,0
1504281679.92309,809,0
1504281681.79125,836,0
1504281686.99313,909,1
1504281689.51424,942,0
1504281689.71444,945,0
1504281690.89862,962,0
1504281691.51577,971,0
1504281691.5825,972,0
1504281691.98283,978,0
1504281692.06389,979,-1
1504281692.44986,984,0
1504281693.78434,1002,0
1504281694.00119,1005,0
1504281694.66841,1014,0
1504281698.05441,1063,0
1504281698.25457,1066,0
1504281698.67163,1072,0
1504281699.07189,1078,0
1504281699.42218,1083,0
1504281700.10606,1093,0
1504281700.50637,1099,0
1504281700.85666,1104,0
1504281704.40953,1156,0
1504281704.75986,1161,0
1504281704.82655,1162,0
1504281706.07049,1180,0
1504281707.0096,1193,1
1504281707.99579,1206,0
1504281710.88154,1244,0
1504281712.08243,1261,0
1504281713.48357,1281,0
1504281714.48258,1294,-1
1504281716.01898,1316,0
1504281716.21907,1319,0
1504281717.18651,1333,0
1504281717.45339,1337,0
1504281720.75379,1385,-1
1504281721.18989,1391,0
1504281721.27063,1392,-1
1504281722.87447,1414,0
1504281723.69186,1426,0
1504281724.37569,1436,0
1504281726.42736,1466,0
1504281727.17797,1477,0
1504281727.7284,1485,0
1504281728.14542,1491,0
1504281730.3472,1523,0
1504281730.61404,1527,0
1504281732.3321,1552,0
1504281733.4163,1568,0
1504281733.483,1569,0
1504281734.50055,1584,0
1504281734.76742,1588,0
1504281735.935,1605,0
1504281738.3252,1640,0
1504281738.87071,1648,0
1504281740.23847,1668,0
1504281741.22264,1682,0
1504281741.83975,1691,0
1504281742.24014,1697,0
1504281742.59037,1702,0
1504281743.05742,1709,0
1504281743.6746,1718,0
1504281744.64203,1732,0
1504281744.77548,1734,0
1504281744.97563,1737,0
1504281745.5928,1746,0
1504281748.01144,1781,0
1504281749.66277,1805,0
1504281751.16397,1826,0
1504281752.41498,1844,0
1504281753.03213,1853,0
1504281753.94961,1866,0
1504281754.14972,1869,0
1504281754.71686,1877,0
1504281757.48575,1917,0
1504281758.6701,1934,0
1504281759.37064,1944,0
1504281759.57076,1947,0
1504281761.02194,1967,0
1504281762.23968,1983,0
1504281763.50737,2001,0
1504281764.34128,2013,0
1504281765.55432,2030,0
1504281765.95926,2036,0
1504281767.65646,2060,0
1504281768.59474,2073,0
1504281768.79492,2076,0
1504281768.8759,2077,-1
1504281769.4596,2085,-1
1504281769.72905,2089,0
1504281770.24618,2096,0
1504281773.5988,2145,0
1504281773.8657,2149,0
1504281774.34941,2156,0
1504281774.99993,2165,0
1504281776.56797,2187,0
1504281776.8514,2191,0
1504281777.3852,2199,0
1504281777.93566,2207,0
