Wall time,Step,Value
1504709379.40743,0,0
1504709382.74415,1,-1
1504709386.33064,2,-1
1504709389.54968,3,-1
1504709392.43531,4,-1
1504709395.98754,5,0
1504709399.19016,6,0
1504709402.7438,7,1
1504709405.71286,8,-1
1504709408.16492,9,-1
1504709410.21686,10,-2
1504709412.51807,11,0
1504709415.08748,12,1
1504709417.02241,13,1
1504709418.557,14,-1
1504709421.57542,15,0
1504709422.64301,16,0
1504709424.89548,17,-1
1504709427.39752,18,1
1504709429.28164,19,0
1504709430.79952,20,0
1504709431.58417,21,1
1504709433.86941,22,-1
1504709435.3873,23,1
1504709436.57154,24,1
1504709437.33879,25,1
1504709438.84009,26,-1
1504709439.79082,27,-1
1504709440.35793,28,-1
1504709440.54141,29,-1
1504709443.84342,30,1
1504709447.64718,31,1
1504709451.26611,32,0
1504709453.78551,33,1
1504709457.00484,34,-1
1504709460.64027,35,0
1504709464.39403,36,-1
1504709467.11289,37,2
1504709468.88032,38,0
1504709472.43322,39,0
1504709475.50236,40,0
1504709478.10519,41,1
1504709480.22363,42,-1
1504709483.4929,43,1
1504709486.34529,44,3
1504709489.06407,45,1
1504709491.44876,46,1
1504709493.75122,47,1
1504709495.86941,48,1
1504709497.79041,49,1
1504709499.13815,50,0
1504709500.73945,51,0
1504709502.65818,52,-1
1504709504.24296,53,1
1504709505.44262,54,0
1504709506.41058,55,0
1504709508.14599,56,1
1504709509.51321,57,0
1504709510.46465,58,1
1504709511.2152,59,-1
1504709511.79893,60,-1
1504709514.75071,61,0
1504709517.35354,62,2
1504709519.97234,63,1
1504709522.59109,64,1
1504709525.0431,65,1
1504709526.96131,66,1
1504709528.51187,67,0
1504709530.84794,68,3
1504709532.63194,69,0
1504709534.05052,70,1
1504709535.4682,71,1
1504709536.43572,72,1
1504709538.52072,73,2
1504709539.35399,74,0
1504709541.27295,75,1
1504709542.77409,76,2
1504709544.10782,77,0
1504709546.34292,78,0
1504709548.61204,79,2
1504709550.34685,80,1
1504709551.56467,81,-1
1504709552.94831,82,0
1504709555.25092,83,2
1504709556.28435,84,0
1504709557.46872,85,0
1504709557.70218,86,0
1504709559.8045,87,-2
1504709562.03894,88,0
1504709563.74036,89,0
1504709565.84272,90,2
1504709567.92778,91,1
1504709569.47833,92,0
1504709570.84682,93,-1
1504709571.98034,94,0
1504709574.03279,95,-1
1504709575.95098,96,1
1504709578.00186,97,0
1504709579.85415,98,1
1504709581.55679,99,0
1504709583.09005,100,1
1504709585.22501,101,1
1504709587.31011,102,1
1504709589.56186,103,2
1504709591.84701,104,1
1504709593.96477,105,0
1504709596.21733,106,1
1504709598.20226,107,1
1504709600.27061,108,1
1504709602.37227,109,1
1504709604.48995,110,0
1504709606.7758,111,2
1504709608.96097,112,1
1504709611.14607,113,2
1504709613.51464,114,1
1504709615.24867,115,0
1504709616.78388,116,2
1504709618.20103,117,0
1504709620.16931,118,0
1504709621.77133,119,2
1504709622.93819,120,0
1504709625.17401,121,3
1504709626.50842,122,1
1504709628.877,123,2
1504709631.22894,124,1
1504709633.19654,125,0
1504709635.03205,126,2
1504709635.81525,127,0
1504709637.90026,128,0
1504709639.88523,129,0
1504709641.23629,130,0
1504709642.77087,131,0
1504709644.48956,132,2
1504709646.624,133,0
1504709648.77637,134,2
1504709650.51124,135,1
1504709652.64622,136,1
1504709655.01481,137,2
1504709657.58295,138,0
1504709659.88535,139,1
1504709662.45416,140,1
1504709664.83944,141,1
1504709667.04116,142,1
1504709669.32571,143,0
1504709671.32794,144,1
1504709673.39647,145,1
1504709675.131,146,1
1504709676.46542,147,1
1504709678.20015,148,1
1504709680.52053,149,1
1504709683.0707,150,1
1504709685.32265,151,2
1504709687.87471,152,1
1504709689.44195,153,0
1504709692.01137,154,-1
1504709694.78029,155,2
1504709697.74934,156,1
1504709700.55095,157,0
1504709703.37056,158,3
1504709705.87256,159,2
1504709708.84098,160,0
1504709711.42708,161,1
1504709713.54537,162,1
1504709715.11273,163,0
1504709716.86414,164,0
1504709719.61697,165,2
1504709721.90213,166,1
1504709724.25413,167,-1
1504709726.17163,168,0
1504709727.54009,169,1
1504709729.25803,170,2
1504709731.02556,171,0
1504709732.41078,172,1
1504709733.39486,173,1
1504709735.99685,174,1
1504709737.34735,175,0
1504709738.51558,176,1
1504709740.58392,177,2
1504709741.56747,178,0
1504709743.30283,179,1
1504709744.66996,180,0
1504709745.83755,181,0
1504709747.00515,182,0
1504709747.95655,183,1
1504709748.74052,184,1
1504709749.30764,185,1
1504709749.69061,186,0
1504709752.09328,187,-2
1504709754.32821,188,1
1504709756.38006,189,1
1504709757.71382,190,0
1504709758.69867,191,1
1504709759.29842,192,0
1504709761.14988,193,0
1504709762.68515,194,1
1504709764.92026,195,1
1504709766.4876,196,0
1504709768.05559,197,0
1504709769.30656,198,0
1504709770.67856,199,1
1504709771.67521,200,0
1504709773.74402,201,1
1504709775.27804,202,0
1504709776.26292,203,1
1504709777.78073,204,1
1504709779.31537,205,1
1504709780.49896,206,0
1504709782.08418,207,1
1504709783.40191,208,2
1504709784.56892,209,0
1504709785.73715,210,1
1504709786.50373,211,0
1504709787.25437,212,0
1504709788.00557,213,-1
1504709788.38852,214,0
1504709788.57203,215,0
1504709792.07491,216,-1
1504709795.66117,217,0
1504709798.74697,218,0
1504709802.38328,219,0
