Wall time,Step,Value
1504734525.56716,0,0
1504734529.03705,1,0
1504734532.32265,2,-1
1504734535.39405,3,-1
1504734538.41621,4,-1
1504734540.75071,5,-1
1504734542.63564,6,-1
1504734543.67001,7,-1
1504734544.62097,8,-1
1504734545.92255,9,-1
1504734548.87285,10,0
1504734551.62698,11,-1
1504734554.47916,12,-1
1504734556.84842,13,1
1504734558.83168,14,0
1504734561.552,15,-1
1504734563.90381,16,-1
1504734566.33952,17,1
1504734568.30596,18,0
1504734570.82685,19,-1
1504734572.91076,20,0
1504734574.29398,21,0
1504734576.23173,22,-1
1504734577.93301,23,-1
1504734579.66799,24,-1
1504734580.48487,25,-1
1504734582.00094,26,0
1504734583.55194,27,0
1504734584.90564,28,1
1504734585.85649,29,1
1504734586.99046,30,1
1504734587.75599,31,0
1504734588.13939,32,0
1504734591.79217,33,-1
1504734594.8972,34,-1
1504734598.48313,35,2
1504734601.70089,36,0
1504734604.622,37,1
1504734607.29085,38,1
1504734610.86033,39,1
1504734614.29683,40,1
1504734617.31574,41,-1
1504734619.73417,42,-2
1504734621.96988,43,-2
1504734623.73751,44,-2
1504734624.92187,45,-2
1504734625.74006,46,-1
1504734626.24069,47,-1
1504734626.50642,48,-1
1504734629.83594,49,0
1504734632.35935,50,0
1504734635.63069,51,-1
1504734638.34759,52,0
1504734640.68452,53,-1
1504734644.23759,54,-1
1504734646.15544,55,1
1504734647.57383,56,-1
1504734648.97562,57,-2
1504734650.00937,58,-2
1504734650.60966,59,-1
1504734650.8076,60,0
1504734654.4773,61,-1
1504734657.94884,62,1
1504734661.1847,63,-1
1504734663.85441,64,-1
1504734666.20524,65,-2
1504734668.22478,66,-2
1504734669.77352,67,0
1504734671.19278,68,-1
1504734672.37769,69,-1
1504734673.31151,70,-2
1504734673.71177,71,-1
1504734677.3796,72,-2
1504734680.76533,73,0
1504734684.16956,74,-1
1504734687.20575,75,-1
1504734690.0423,76,-1
1504734692.49351,77,-1
1504734694.62897,78,-1
1504734696.34669,79,-1
1504734697.69759,80,-1
1504734698.51537,81,-1
1504734698.96386,82,0
1504734699.21374,83,0
1504734702.73305,84,-1
1504734705.98743,85,1
1504734709.44097,86,-1
1504734712.47738,87,-1
1504734714.99527,88,-3
1504734717.095,89,0
1504734718.64871,90,-1
1504734719.79878,91,-1
1504734720.46641,92,-1
1504734722.88479,93,-1
1504734723.16643,94,0
1504734726.83573,95,-1
1504734730.25728,96,-1
1504734733.47659,97,-1
1504734736.0952,98,-1
1504734738.22066,99,-1
1504734739.6487,100,-1
1504734740.63237,101,-1
1504734741.43306,102,-1
1504734742.28381,103,-1
1504734743.0515,104,-1
1504734743.24985,105,0
1504734746.93548,106,-1
1504734750.23994,107,1
1504734753.82651,108,-1
1504734757.06207,109,2
1504734759.9984,110,-2
1504734762.46697,111,-1
1504734764.56936,112,-1
1504734766.33643,113,-1
1504734767.53727,114,-1
1504734768.35448,115,-1
1504734768.77194,116,-1
1504734769.08695,117,0
1504734772.60649,118,-1
